Timestamp;Total;Lights;Fridge freezer;Answer machine;Cassette / CD Player;Cordless telephone;Hi-Fi;Iron;Vacuum;Fax;TV 1;VCR / DVD;TV Receiver box;Oven;Kettle;Small cooking (group);Tumble dryer;Washing machine;Electric shower;
2016-02-22 00:00:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:01:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:02:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:03:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:04:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:05:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:06:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:07:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:08:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:09:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:10:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:11:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:12:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:13:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:14:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:15:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:16:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:17:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:18:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:19:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:20:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:21:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:22:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:23:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
2016-02-22 00:24:00;2.2;0.0;0.0;0.05;0.1;0.05;0.45;0.0;0.0;0.15000000000000002;0.15000000000000002;0.1;0.75;0.15000000000000002;0.05;0.1;0.05;0.05;0.0;
